Price,Close,High,Low,Open,Volume,Daily_Return,Cumulative_Return
Ticker,^NDX,^NDX,^NDX,^NDX,^NDX,,
Date,,,,,,,
2010-01-04,1886.699951171875,1890.02001953125,1881.6300048828125,1882.68994140625,1931380000,,
2010-01-05,1888.4300537109375,1891.3299560546875,1877.52001953125,1887.280029296875,2367860000,0.0009169993023998568,1.0009169993023999
2010-01-06,1878.4200439453125,1893.2099609375,1873.9000244140625,1887.9100341796875,2253340000,-0.005300704543413914,0.9956114340166174
2010-01-07,1876.719970703125,1881.3299560546875,1867.6199951171875,1878.1600341796875,2270050000,-0.0009050548878389852,0.9947103510218723
2010-01-08,1892.5899658203125,1893.25,1868.550048828125,1870.9000244140625,2145390000,0.00845624033682646,1.0031218608156423
2010-01-11,1886.239990234375,1897.489990234375,1876.25,1896.050048828125,2077890000,-0.0033551776669096256,0.9997562087510448
2010-01-12,1861.7900390625,1876.3699951171875,1852.31005859375,1874.75,2368320000,-0.012962269540705118,0.9867970992982202
2010-01-13,1886.1300048828125,1890.81005859375,1855.27001953125,1868.199951171875,2318350000,0.013073421443681621,0.9996979136567484
2010-01-14,1886.52001953125,1891.72998046875,1880.3499755859375,1880.4599609375,2254170000,0.00020678036372245856,0.9999046315549469
2010-01-15,1864.52001953125,1893.47998046875,1857.1099853515625,1887.31005859375,2637770000,-0.011661683826427849,0.9882440598851723
2010-01-19,1895.47998046875,1896.5400390625,1868.8299560546875,1869.239990234375,2045290000,0.01660478869263282,1.0046536436763152
2010-01-20,1867.949951171875,1882.31005859375,1848.0899658203125,1882.06005859375,2351890000,-0.014524041182469749,0.990062012781442
2010-01-21,1850.5699462890625,1885.010009765625,1842.8599853515625,1874.5400390625,2877800000,-0.009304320424596502,0.9808501585743025
2010-01-22,1794.8199462890625,1849.2099609375,1791.4000244140625,1842.1099853515625,2817620000,-0.0301258539898992,0.9513012099111235
2010-01-25,1802.3900146484375,1813.6500244140625,1794.6800537109375,1806.5999755859375,2134350000,0.004217731352399223,0.955313542849741
2010-01-26,1803.8599853515625,1825.949951171875,1792.0400390625,1798.3599853515625,2361260000,0.0008155674915961697,0.9560926655195708
2010-01-27,1818.9000244140625,1823.800048828125,1790.0999755859375,1801.6700439453125,2492880000,0.00833769759550873,0.9640642770379569
2010-01-28,1771.0999755859375,1805.8499755859375,1762.0999755859375,1805.6400146484375,2829640000,-0.026279646042405846,0.9387290090752716
2010-01-29,1741.0400390625,1789.9300537109375,1734.030029296875,1787.1400146484375,3090580000,-0.016972467358028598,0.9227964616107069
2010-02-01,1760.719970703125,1760.719970703125,1744.260009765625,1745.9100341796875,2234140000,0.011303549142512637,0.9332273367630604
2010-02-02,1776.9200439453125,1780.1700439453125,1750.3900146484375,1760.6500244140625,2468470000,0.00920082324943361,0.941813796540157
2010-02-03,1784.699951171875,1787.8900146484375,1766.5999755859375,1767.1400146484375,2303350000,0.004378310241404337,0.9459373495310446
2010-02-04,1732.989990234375,1775.3699951171875,1732.989990234375,1771.780029296875,2801390000,-0.028974036169803208,0.9185297265513643
2010-02-05,1746.1199951171875,1748.77001953125,1712.8900146484375,1739.18994140625,2811100000,0.007576503590212225,0.9254889703222974
2010-02-08,1734.8800048828125,1755.6500244140625,1734.1199951171875,1744.02001953125,2036280000,-0.006437123603077799,0.9195314834270476
