Date,Open,Close
2008-10-06,2880.82,2880.82
2008-10-07,2885.64,2885.64
2008-10-08,2821.96,2821.96
2008-10-09,2798.31,2798.31
2008-10-10,2674.3,2674.3
2008-10-13,2735.46,2735.46
2008-10-14,2676.83,2676.83
2008-10-15,2660.2,2660.2
2008-10-16,2539.05,2539.05
2008-10-17,2562.86,2562.86
2008-10-20,2626.6,2626.6
2008-10-21,2605.14,2605.14
2008-10-22,2559.48,2559.48
2008-10-23,2565.39,2565.39
2008-10-24,2520.06,2520.06
2008-10-27,2340.25,2340.25
2008-10-28,2387.14,2387.14
2008-10-29,2319.53,2319.53
2008-10-30,2340.76,2340.76
2008-10-31,2299.21,2299.21
2008-11-03,2275.83,2275.83
2008-11-04,2243.37,2243.37
2008-11-05,2314.31,2314.31
2008-11-06,2278.39,2278.39
2008-11-07,2307.56,2307.56
2008-11-10,2465.83,2465.83
2008-11-11,2428.06,2428.06
2008-11-12,2472.69,2472.69
2008-11-13,2577.67,2577.67
2008-11-14,2674.12,2674.12
2008-11-17,2777.65,2777.65
2008-11-18,2562.36,2562.36
2008-11-19,2723.19,2723.19
2008-11-20,2713.81,2713.81
2008-11-21,2684.38,2684.38
2008-11-24,2588.57,2588.57
2008-11-25,2575.1,2575.1
2008-11-26,2616.65,2616.65
2008-11-27,2647.43,2647.43
2008-11-28,2613.79,2613.79
2008-12-01,2684.02,2684.02
2008-12-02,2717.3,2717.3
2008-12-03,2818.72,2818.72
2008-12-04,2824.85,2824.85
2008-12-05,2866.58,2866.58
2008-12-08,2967.17,2967.17
2008-12-09,2890.2,2890.2
2008-12-10,2950.6,2950.6
2008-12-11,2881.96,2881.96
2008-12-12,2767.15,2767.15
2008-12-15,2815.71,2815.71
2008-12-16,2841.18,2841.18
2008-12-17,2874.99,2874.99
2008-12-18,2912.69,2912.69
2008-12-19,2944.14,2944.14
2008-12-22,2929.31,2929.31
2008-12-23,2771.52,2771.52
2008-12-24,2712.77,2712.77
2008-12-25,2708.06,2708.06
2008-12-26,2695.08,2695.08
2008-12-29,2692.77,2692.77
2008-12-30,2675.93,2675.93
2008-12-31,2648.69,2648.69
2009-01-05,2742.93,2742.93
2009-01-06,2829.12,2829.12
2009-01-07,2818.85,2818.85
2009-01-08,2754.54,2754.54
2009-01-09,2815.11,2815.11
2009-01-12,2845.72,2845.72
2009-01-13,2798.08,2798.08
2009-01-14,2882.47,2882.47
2009-01-15,2887.93,2887.93
2009-01-16,2915.99,2915.99
2009-01-19,2915.14,2915.14
2009-01-20,2939.85,2939.85
2009-01-21,2919.18,2919.18
2009-01-22,2953.61,2953.61
2009-01-23,2943.01,2943.01
2009-02-02,3009.66,3009.66
2009-02-03,3097.14,3097.14
2009-02-04,3163.95,3163.95
2009-02-05,3126.44,3126.44
2009-02-06,3256.68,3256.68
2009-02-09,3342.28,3342.28
2009-02-10,3401.49,3401.49
2009-02-11,3420.74,3420.74
2009-02-12,3445.2,3445.2
2009-02-13,3568.82,3568.82
2009-02-16,3672.34,3672.34
2009-02-17,3533.21,3533.21
2009-02-18,3350.79,3350.79
2009-02-19,3428.54,3428.54
2009-02-20,3529.31,3529.31
2009-02-23,3631.37,3631.37
2009-02-24,3523.09,3523.09
2009-02-25,3533.07,3533.07
2009-02-26,3303.22,3303.22
2009-02-27,3145.95,3145.95
