Date,nasdaq100_shares,nasdaq100_value,sp500_shares,sp500_value,csi930955_shares,csi930955_value,csi980092_shares,csi980092_value,total_value,return,cumulative_invest,profit
2019-09-30,46.09871015931391,357239.6584477495,120.20929510104583,357831.8159251682,26.92318622106484,342245.3893872785,188.3175311459797,331481.13210266654,1388797.995862863,38.87979958628631,998312.236286926,390485.75957593706
2019-10-08,46.09871015931391,350547.0396035314,120.20929510104583,347772.710328545,26.92318622106484,344287.78229400853,188.3175311459797,332865.1153025646,1375472.6475286495,37.54726475286496,998312.236286926,377160.4112417236
2019-10-09,46.09871015931391,354523.50353748864,120.20929510104583,350939.0043788042,26.92318622106484,346366.52150213695,188.3175311459797,334244.9178532712,1386073.947271701,38.607394727170096,998312.236286926,387761.710984775
2019-10-10,46.09871015931391,356820.605866189,120.20929510104583,353190.522128209,26.92318622106484,347966.5664592548,188.3175311459797,335928.11877840705,1393905.81323206,39.39058132320601,998312.236286926,395593.5769451341
2019-10-11,46.09871015931391,361592.7452422466,120.20929510104583,357054.0653076212,26.92318622106484,350152.4599485431,188.3175311459797,339614.66043162695,1408413.9309300377,40.84139309300379,998312.236286926,410101.6946431118
2019-10-14,46.09871015931391,361521.301245154,120.20929510104583,356558.7889247781,26.92318622106484,354068.7066162592,188.3175311459797,343170.67920400965,1415319.475990201,41.5319475990201,998312.236286926,417007.23970327515
2019-10-15,46.09871015931391,366155.1444907336,120.20929510104583,360108.57293086866,26.92318622106484,352701.0087562291,188.3175311459797,339025.86683874595,1417990.5930165772,41.79905930165773,998312.236286926,419678.3567296512
2019-10-16,46.09871015931391,365111.46339016873,120.20929510104583,359388.5204271323,26.92318622106484,351423.77280190174,188.3175311459797,337254.5521407869,1413178.3087599897,41.317830875998965,998312.236286926,414866.0724730637
2019-10-17,46.09871015931391,366122.41620725143,120.20929510104583,360381.45037858584,26.92318622106484,350195.80627835897,188.3175311459797,335877.3483720101,1412577.0212362062,41.25770212362061,998312.236286926,414264.7849492802
2019-10-18,46.09871015931391,362727.25070584513,120.20929510104583,358968.99116114853,26.92318622106484,346433.2910039652,188.3175311459797,331576.25128764834,1399705.7841586075,39.97057841586076,998312.236286926,401393.5478716815
2019-10-21,46.09871015931391,366038.97484076675,120.20929510104583,361435.6882444598,26.92318622106484,346890.17747413664,188.3175311459797,330859.9855579346,1405224.8261172976,40.52248261172977,998312.236286926,406912.58983037167
2019-10-22,46.09871015931391,363009.8303969291,120.20929510104583,360145.84485586337,26.92318622106484,347689.25764117786,188.3175311459797,331569.4341930209,1402414.3670869912,40.241436708699126,998312.236286926,404102.13080006524
2019-10-23,46.09871015931391,363694.40074462205,120.20929510104583,361171.233664832,26.92318622106484,346747.484587165,188.3175311459797,329469.6372254839,1401082.7562221028,40.108275622210286,998312.236286926,402770.5199351768
2019-10-24,46.09871015931391,367255.5261044291,120.20929510104583,361864.8436454028,26.92318622106484,347501.603033217,188.3175311459797,330085.1342442814,1406707.1070273304,40.67071070273305,998312.236286926,408394.87074040447
2019-10-25,46.09871015931391,370136.6954893862,120.20929510104583,363338.61077726056,26.92318622106484,348534.9149203815,188.3175311459797,331421.30362302146,1413431.5248100497,41.34315248100498,998312.236286926,415119.2885231237
2019-10-28,46.09871015931391,373891.42192638083,120.20929510104583,365366.52632466954,26.92318622106484,349242.9947179955,188.3175311459797,334336.8168084704,1422837.7597775166,42.28377597775166,998312.236286926,424525.5234905906
2019-10-29,46.09871015931391,370979.8201897951,120.20929510104583,365062.39328630717,26.92318622106484,347087.7936609993,188.3175311459797,331580.789740149,1414710.7968772505,41.47107968772505,998312.236286926,416398.5605903246
2019-10-30,46.09871015931391,372620.9387732938,120.20929510104583,366250.07638285117,26.92318622106484,346057.17409245693,188.3175311459797,329311.95895665535,1414240.1482052573,41.424014820525734,998312.236286926,415927.9119183313
2019-10-31,46.09871015931391,372654.1397486283,120.20929510104583,365142.9534706461,26.92318622106484,344390.89809723524,188.3175311459797,326804.1908896437,1408992.1822061534,40.89921822061533,998312.236286926,410679.94591922744
2019-11-01,46.09871015931391,376219.40678942617,120.20929510104583,368671.0786730784,26.92318622106484,346797.8309453984,188.3175311459797,329995.4197724435,1421683.7361803465,42.16837361803465,998312.236286926,423371.4998934205
2019-11-04,46.09871015931391,378500.84275959583,120.20929510104583,370036.6691785341,26.92318622106484,347624.6419942473,188.3175311459797,330727.9561368482,1426890.1100692255,42.68901100692255,998312.236286926,428577.8737822996
2019-11-05,46.09871015931391,378478.69376994896,120.20929510104583,369597.9169906043,26.92318622106484,350003.8439606028,188.3175311459797,332784.76021202456,1430865.2149331807,43.08652149331807,998312.236286926,432552.97864625475
2019-11-06,46.09871015931391,377826.42403215764,120.20929510104583,369857.55850275245,26.92318622106484,349224.1484876407,188.3175311459797,331353.39632129023,1428261.527343841,42.8261527343841,998312.236286926,429949.29105691507
2019-11-07,46.09871015931391,378915.2809683132,120.20929510104583,370867.3048424123,26.92318622106484,349890.4973466121,188.3175311459797,331775.1710957979,1431448.2542531355,43.14482542531355,998312.236286926,433136.01796620956
2019-11-08,46.09871015931391,380585.8640106003,120.20929510104583,371816.975882494,26.92318622106484,347817.68123945233,188.3175311459797,329950.2612284746,1430170.782361021,43.0170782361021,998312.236286926,431858.54607409507
2019-11-11,46.09871015931391,379941.42745207436,120.20929510104583,371087.2972437984,26.92318622106484,341102.5001321943,188.3175311459797,323089.66525129543,1415220.8900793623,41.52208900793624,998312.236286926,416908.65379243635
2019-11-12,46.09871015931391,380950.0618281676,120.20929510104583,371667.9175304876,26.92318622106484,341609.1944968748,188.3175311459797,323867.360159669,1418094.5340151992,41.80945340151992,998312.236286926,419782.2977282732
2019-11-13,46.09871015931391,380766.5673529631,120.20929510104583,371932.3721101154,26.92318622106484,339312.37748035573,188.3175311459797,322102.12811796594,1414113.4450614003,41.41134450614003,998312.236286926,415801.20877447433
2019-11-14,46.09871015931391,380675.3153163489,120.20929510104583,372243.6954017248,26.92318622106484,338744.02901922906,188.3175311459797,322726.4760607273,1414389.5157980302,41.43895157980302,998312.236286926,416077.2795111042
2019-11-15,46.09871015931391,383334.7246952076,120.20929510104583,375108.2922953339,26.92318622106484,336464.9813056159,188.3175311459797,319250.30392155057,1414158.302217708,41.4158302217708,998312.236286926,415846.065930782
2019-11-18,46.09871015931391,383932.2071964131,120.20929510104583,375297.02910607477,26.92318622106484,339015.6839681996,188.3175311459797,322813.94955394464,1421058.869824632,42.105886982463204,998312.236286926,422746.6335377061
2019-11-19,46.09871015931391,384405.1691582625,120.20929510104583,375074.63017094886,26.92318622106484,341505.8094617859,188.3175311459797,326906.97459814313,1427892.5833891402,42.789258338914024,998312.236286926,429580.34710221423
2019-11-20,46.09871015931391,381870.1902822166,120.20929510104583,373665.7807541213,26.92318622106484,339494.64745107235,188.3175311459797,325650.12456352176,1420680.743050932,42.068074305093205,998312.236286926,422368.506764006
2019-11-21,46.09871015931391,381034.4260692208,120.20929510104583,373074.36041357537,26.92318622106484,339620.37873072474,188.3175311459797,326575.6487338449,1420304.8139473659,42.0304813947366,998312.236286926,421992.5776604399
