Date,nasdaq100_shares,nasdaq100_value,sp500_shares,sp500_value,csi930955_shares,csi930955_value,csi980092_shares,csi980092_value,cnb00003_shares,cnb00003_value,total_value,return,cumulative_invest,profit
2024-08-07,31.83430864663526,568795.3439260224,113.74263173517849,591404.8137070605,31.238520169180624,597009.6676648668,152.58043650259413,632566.5088802642,1514.3823409600898,253978.27390828944,2643754.6080865036,164.3754608086504,998312.236286926,1645442.3717995775
2024-08-08,31.83430864663526,586191.2391918068,113.74263173517849,605032.3250798596,31.238520169180624,600840.1350080117,152.58043650259413,634476.8769774514,1514.3823409600898,253711.89405451453,2680252.4703116436,168.02524703116438,998312.236286926,1681940.2340247175
2024-08-09,31.83430864663526,589351.7269707464,113.74263173517849,607858.8405861577,31.238520169180624,599328.5030170251,152.58043650259413,635944.7007766063,1514.3823409600898,253413.5607333454,2685897.332083881,168.5897332083881,998312.236286926,1687585.0957969548
2024-08-12,31.83430864663526,590272.6835716722,113.74263173517849,607884.999169921,31.238520169180624,598134.2543909573,152.58043650259413,636257.4906714367,1514.3823409600898,252880.34671109339,2685429.7745150807,168.54297745150805,998312.236286926,1687117.5382281546
2024-08-13,31.83430864663526,605056.5489424464,113.74263173517849,618126.390174428,31.238520169180624,599971.0793769051,152.58043650259413,638886.1616895469,1514.3823409600898,253190.34077628786,2715230.5209596143,171.52305209596142,998312.236286926,1716918.2846726882
2024-08-14,31.83430864663526,605573.8564579542,113.74263173517849,620489.9376249915,31.238520169180624,595349.6527030765,152.58043650259413,634098.1875920957,1514.3823409600898,253499.42621207784,2709011.060590196,170.90110605901958,998312.236286926,1710698.8243032699
2024-08-15,31.83430864663526,620455.4631044951,113.74263173517849,630500.4555239696,31.238520169180624,600645.206642156,152.58043650259413,638827.0825445333,1514.3823409600898,253212.4507584659,2743640.65857362,174.36406585736202,998312.236286926,1745328.422286694
2024-08-16,31.83430864663526,621040.2319967247,113.74263173517849,631755.0123151152,31.238520169180624,599277.2718439475,152.58043650259413,638473.3095444583,1514.3823409600898,253212.29932023183,2743758.1250204775,174.37581250204778,998312.236286926,1745445.8887335514
2024-08-19,31.83430864663526,629252.5509817955,113.74263173517849,637897.1144288147,31.238520169180624,604362.5905422885,152.58043650259413,641135.8686775159,1514.3823409600898,253332.9955928063,2765981.1202232214,176.5981120223221,998312.236286926,1767668.8839362953
2024-08-20,31.83430864663526,627766.8462843124,113.74263173517849,636631.172266817,31.238520169180624,598372.9166850498,152.58043650259413,629816.1702220868,1514.3823409600898,253345.110651534,2745932.2161098,174.59322161098,998312.236286926,1747619.979822874
2024-08-21,31.83430864663526,631110.0704560499,113.74263173517849,639330.2826963569,31.238520169180624,593493.147449422,152.58043650259413,625969.4495793761,1514.3823409600898,253270.4516021247,2743173.40178333,174.31734017833298,998312.236286926,1744861.1654964038
2024-08-22,31.83430864663526,620509.2456767203,113.74263173517849,633619.2696000051,31.238520169180624,592526.315250186,152.58043650259413,621620.220527088,1514.3823409600898,253382.970210058,2721658.0212640576,172.16580212640577,998312.236286926,1723345.7849771315
2024-08-23,31.83430864663526,627800.2350025609,113.74263173517849,640895.3546506036,31.238520169180624,593816.4661331731,152.58043650259413,625498.0675788451,1514.3823409600898,253462.47528295845,2741472.598648141,174.14725986481412,998312.236286926,1743160.362361215
2024-08-26,31.83430864663526,621292.3572341508,113.74263173517849,638874.1458631337,31.238520169180624,594650.8470068919,152.58043650259413,629666.0158145246,1514.3823409600898,253519.11318251034,2738002.4791012113,173.80024791012113,998312.236286926,1739690.2428142852
2024-08-27,31.83430864663526,623364.1365279291,113.74263173517849,639893.2754004094,31.238520169180624,593412.8644525872,152.58043650259413,630983.65469003,1514.3823409600898,253277.4177608931,2740931.3488318487,174.09313488318486,998312.236286926,1742619.1125449226
2024-08-28,31.83430864663526,616018.6806896384,113.74263173517849,636069.2903306525,31.238520169180624,590439.8944880863,152.58043650259413,627826.5823622675,1514.3823409600898,253411.13772159987,2723765.5855922448,172.37655855922446,998312.236286926,1725453.3493053187
2024-08-29,31.83430864663526,615212.3151645638,113.74263173517849,636044.2425147771,31.238520169180624,582728.9781695259,152.58043650259413,625202.9007244309,1514.3823409600898,253368.4321395848,2712556.8687128825,171.25568687128828,998312.236286926,1714244.6324259564
2024-08-30,31.83430864663526,623145.1513032153,113.74263173517849,642463.8699853033,31.238520169180624,584256.5418057988,152.58043650259413,631985.1621591458,1514.3823409600898,253390.54212176282,2735241.267375226,173.52412673752264,998312.236286926,1736929.0310883
2024-09-03,31.83430864663526,603538.3881724759,113.74263173517849,628875.0688734024,31.238520169180624,579976.2397722177,152.58043650259413,628494.2133202284,1514.3823409600898,253846.37120639184,2694730.2813447164,169.47302813447163,998312.236286926,1696418.0450577904
2024-09-04,31.83430864663526,602349.7000617213,113.74263173517849,627867.2691685847,31.238520169180624,576705.879095706,152.58043650259413,618048.7702498718,1514.3823409600898,253926.1791557604,2678897.7977316445,167.88977977316443,998312.236286926,1680585.5614447184
2024-09-05,31.83430864663526,602633.9704897143,113.74263173517849,625972.3546899848,31.238520169180624,577833.9020590152,152.58043650259413,616534.1042567105,1514.3823409600898,254001.74683457433,2676976.078329999,167.69760783299992,998312.236286926,1678663.842043073
2024-09-06,31.83430864663526,586429.6856247361,113.74263173517849,615167.915443031,31.238520169180624,573974.0705069113,152.58043650259413,611581.6789647967,1514.3823409600898,254011.59031979056,2641164.940859265,164.1164940859265,998312.236286926,1642852.704572339
2024-09-09,31.83430864663526,594053.0077234601,113.74263173517849,622291.6031393905,31.238520169180624,566348.1229632109,152.58043650259413,600179.3276869141,1514.3823409600898,254159.09115980004,2637031.152672776,163.7031152672776,998312.236286926,1638718.91638585
2024-09-10,31.83430864663526,599412.6742071487,113.74263173517849,625074.9097748438,31.238520169180624,565460.0118348011,152.58043650259413,599742.3220587271,1514.3823409600898,254244.19944736204,2643934.117322883,164.3934117322883,998312.236286926,1645621.881035957
2024-09-11,31.83430864663526,612406.1705984701,113.74263173517849,631741.3498700922,31.238520169180624,556243.3988440861,152.58043650259413,594478.5869022169,1514.3823409600898,254433.64867821615,2649303.1548930816,164.93031548930816,998312.236286926,1650990.9186061556
2024-09-12,31.83430864663526,618320.0151934234,113.74263173517849,636476.442300013,31.238520169180624,556601.7046704266,152.58043650259413,597110.9961410216,1514.3823409600898,254458.48454860784,2662967.6428534924,166.29676428534924,998312.236286926,1664655.4065665663
2024-09-13,31.83430864663526,621233.4761984312,113.74263173517849,639918.3232162846,31.238520169180624,555703.9096007643,152.58043650259413,598354.4961824304,1514.3823409600898,254592.35594754873,2669802.561145459,166.98025611454588,998312.236286926,1671490.3248585328
2024-09-18,31.83430864663526,615818.4727329154,113.74263173517849,639035.6515140546,31.238520169180624,560924.178706236,152.58043650259413,605933.9446237404,1514.3823409600898,254784.37962838248,2676496.627205329,167.64966272053292,998312.236286926,1678184.390918403
2024-09-19,31.83430864663526,631587.274203829,113.74263173517849,649884.4659381356,31.238520169180624,563670.044629107,152.58043650259413,613308.7521836131,1514.3823409600898,254769.5386814411,2713220.0756361256,171.32200756361254,998312.236286926,1714907.8393491996
2024-09-20,31.83430864663526,630048.4086979614,113.74263173517849,648623.0223860843,31.238520169180624,562646.6707083647,152.58043650259413,613322.2097781127,1514.3823409600898,254801.94646353764,2709442.2580340607,170.94422580340608,998312.236286926,1711130.0217471346
2024-09-23,31.83430864663526,631981.0372441789,113.74263173517849,650445.1815680177,31.238520169180624,566578.038471656,152.58043650259413,619209.6632429581,1514.3823409600898,254854.49553076894,2723068.416057579,172.3068416057579,998312.236286926,1724756.1797706531
2024-09-24,31.83430864663526,634930.187493646,113.74263173517849,652078.5657473789,31.238520169180624,588933.2606603268,152.58043650259413,640481.1155083958,1514.3823409600898,254739.09959638776,2771162.2290061354,177.11622290061354,998312.236286926,1772849.9927192093
2024-09-25,31.83430864663526,635814.211322431,113.74263173517849,650864.8852145132,31.238520169180624,599180.4324314231,152.58043650259413,651242.216985789,1514.3823409600898,255124.50990216213,2792226.2558563184,179.22262558563182,998312.236286926,1793914.0195693923
2024-09-26,31.83430864663526,640364.2791090731,113.74263173517849,653493.5174215571,31.238520169180624,622676.797761874,152.58043650259413,672227.1079334312,1514.3823409600898,255026.52936470197,2843788.2315906375,184.37882315906373,998312.236286926,1845475.9953037114
2024-09-27,31.83430864663526,636960.5573156303,113.74263173517849,652674.5482577061,31.238520169180624,632992.3818921408,152.58043650259413,686241.3158653216,1514.3823409600898,254328.0962290512,2863196.89955985,186.319689955985,998312.236286926,1864884.6632729238
2024-09-30,31.83430864663526,638618.1797150819,113.74263173517849,655439.6382997956,31.238520169180624,676380.1873255192,152.58043650259413,737824.3823883209,1514.3823409600898,253771.86359521656,2962034.2513239337,196.20342513239336,998312.236286926,1963722.0150370076
