Date,nasdaq100_shares,nasdaq100_value,sp500_shares,sp500_value,csi930955_shares,csi930955_value,csi980092_shares,csi980092_value,total_value,return,cumulative_invest,profit
2015-01-05,12.016457853330213,50000.0,24.745370679430188,50000.0,6.89577178857012,50000.0,33.3153297291477,49999.99999999999,200000.0,-80.0,200000.0,0.0
2015-01-06,12.11909914967455,49819.55730426125,24.956066187470398,49977.267342122715,6.953988684908847,50400.701951161245,33.59391045364749,50881.64583707066,201079.17243461584,-79.89208275653841,201687.76371308017,-608.5912784643297
2015-01-07,12.220527257431772,50837.39339091617,25.16433950954219,50980.43602674529,7.012135622709103,50883.28166076369,33.87174016567028,51441.126953520026,204142.23803194516,-79.58577619680548,203375.52742616035,766.7106057848141
2015-01-08,12.320028724860272,52243.695402950616,25.36895265426077,52314.32930127684,7.072018781444403,49829.93937537196,34.154700565967794,50930.32822415193,205318.29230375134,-79.46817076962486,205063.29113924052,255.00116451081703
2015-01-09,12.420174205290168,52329.668907268155,25.57529990225906,52296.63049169108,7.132397493147213,49842.90545751108,34.442320664695316,50527.15306520922,204996.35792167953,-79.50036420783204,206751.0548523207,-1754.696930641163
2015-01-12,12.521359802915798,52213.69742750069,25.78333088755606,52295.29895778479,7.194356604433726,48993.49653262763,34.73521767329148,50038.78345831136,203541.27637622447,-79.64587236237756,208438.81856540087,-4897.542189176398
2015-01-13,12.622636963995282,52588.43258475592,25.99189967900237,52582.3935690936,7.256176371400652,49525.87083477573,35.02598726365144,50826.83358085789,205523.53056948315,-79.44764694305168,210126.58227848104,-4603.051708997897
2015-01-14,12.7244115004396,52753.37218679322,26.20168798399007,52698.66950331142,7.318294929675877,49709.59149277269,35.31946984074055,50778.925408177136,205940.55859105446,-79.40594414089456,211814.34599156122,-5873.787400506757
2015-01-15,12.827584373019288,52460.329178424545,26.413434494433233,52633.2596747689,7.378429000149484,51772.00141247888,35.60609478763282,52415.774864188024,209281.36512986035,-79.07186348701396,213502.1097046414,-4220.744574781042
2015-01-16,12.929449813188652,53555.59301689946,26.622376130689204,53761.75997576503,7.438109386495478,52587.507743616894,35.891048918634745,53145.053360227,213049.91409650838,-78.69500859034916,215189.87341772157,-2139.9593212131876
2015-01-20,13.030605336938699,54353.39077848405,26.83099441853554,54267.0290713162,7.502420630691421,49222.781564315956,36.1912373938601,50869.92193735242,208713.12335146862,-79.12868766485313,216877.63713080174,-8164.513779333123
2015-01-21,13.131257027144985,55047.40921916531,27.03863025169691,54945.741175053765,7.564013530498448,51817.123410409,36.48219395525266,52905.94138565627,214716.21519028436,-78.52837848097155,218565.40084388191,-3849.185653597553
2015-01-22,13.230063905670166,56497.13389141985,27.243143228573054,56206.68829156729,7.62540809941332,52406.45595810898,36.77257577427599,53432.597155236064,218542.87529633217,-78.14571247036677,220253.1645569621,-1710.2892606299138
