Date,nasdaq100_shares,nasdaq100_value,sp500_shares,sp500_value,csi930955_shares,csi930955_value,csi980092_shares,csi980092_value,total_value,return,cumulative_invest,profit
2015-01-05,12.016457853330213,50000.0,24.745370679430188,50000.0,6.89577178857012,50000.0,33.3153297291477,49999.99999999999,200000.0,-80.0,200000.0,0.0
2015-01-06,12.11909914967455,49819.55730426125,24.956066187470398,49977.267342122715,6.942366469436907,62867.01610597407,33.59391045364749,50881.64583707066,213545.48658942868,-78.64545134105714,201687.76371308017,11857.722876348504
2015-01-07,12.220527257431772,50837.39339091617,25.16433950954219,50980.43602674529,6.988905183958031,63364.5594050963,33.87174016567028,51441.126953520026,216623.51577627778,-78.33764842237223,203375.52742616035,13247.988350117434
2015-01-08,12.320028724860272,52243.695402950616,25.36895265426077,52314.32930127684,7.036833518598034,61949.326827659286,34.154700565967794,50930.32822415193,217437.67975603865,-78.25623202439613,205063.29113924052,12374.388616798125
2015-01-09,12.420174205290168,52329.668907268155,25.57529990225906,52296.63049169108,7.085154410606339,61867.99342267919,34.442320664695316,50527.15306520922,217021.44588684765,-78.29785541131523,206751.0548523207,10270.391034526954
2015-01-12,12.521359802915798,52213.69742750069,25.78333088755606,52295.29895778479,7.1471135218928525,48671.771612955105,34.73521767329148,50038.78345831136,203219.55145655194,-79.6780448543448,208438.81856540087,-5219.26710884893
2015-01-13,12.622636963995282,52588.43258475592,25.99189967900237,52582.3935690936,7.208933288859779,49203.4207337862,35.02598726365144,50826.83358085789,205201.08046849363,-79.47989195315064,210126.58227848104,-4925.501809987414
2015-01-14,12.7244115004396,52753.37218679322,26.20168798399007,52698.66950331142,7.258646681457343,61607.545949468746,35.31946984074055,50778.925408177136,217838.51304775052,-78.21614869522494,211814.34599156122,6024.167056189297
2015-01-15,12.827584373019288,52460.329178424545,26.413434494433233,52633.2596747689,7.31878075193095,51353.46933865134,35.60609478763282,52415.774864188024,208862.8330560328,-79.11371669439671,213502.1097046414,-4639.276648608589
2015-01-16,12.929449813188652,53555.59301689946,26.622376130689204,53761.75997576503,7.378461138276944,52165.79403222938,35.891048918634745,53145.053360227,212628.20038512087,-78.73717996148791,215189.87341772157,-2561.6730326006946
2015-01-20,13.030605336938699,54353.39077848405,26.83099441853554,54267.0290713162,7.429929274585362,60911.30318597826,36.1912373938601,50869.92193735242,220401.64497313093,-77.9598355026869,216877.63713080174,3524.007842329185
2015-01-21,13.131257027144985,55047.40921916531,27.03863025169691,54945.741175053765,7.491522174392389,51320.52282523157,36.48219395525266,52905.94138565627,214219.6146051069,-78.5780385394893,218565.40084388191,-4345.7862387750065
2015-01-22,13.230063905670166,56497.13389141985,27.243143228573054,56206.68829156729,7.552916743307262,51908.25113922092,36.77257577427599,53432.597155236064,218044.67047744413,-78.19553295225559,220253.1645569621,-2208.4940795179573
2015-01-23,13.328691092902433,57022.008334471604,27.448785494567375,56319.968929845054,7.6144082117411145,52248.393979160945,37.063865488348945,53687.99876508198,219278.3700085596,-78.07216299914404,221940.92827004226,-2662.5582614826562
2015-01-26,13.427374099990974,57411.69487160081,27.65390092959565,56886.56549378055,7.663058375960717,66461.39877237225,37.350497873151795,54982.285950645455,235741.94508839908,-76.42580549116009,223628.69198312244,12113.253105276643
2015-01-27,13.528668285147628,56353.66774178245,27.861799684550558,56546.91691021902,7.712064689399972,66400.3371312055,37.63911589239412,55025.95971170515,234326.88149491214,-76.56731185050877,225316.4556962026,9010.425798709533
2015-01-28,13.630577032705213,56435.76693733877,28.07254254279711,56205.72273699739,7.773961358580509,52994.006226853126,37.92973105466311,55069.755498250655,220705.25139943993,-77.929474860056,227004.21940928278,-6298.968009842851
2015-01-29,13.731487245534929,57416.155535083024,28.281295011947407,57163.567542898694,7.8363848426048195,52968.711158164035,38.22025259060389,55509.44374768118,223057.87798382694,-77.6942122016173,228691.98312236296,-5634.105138536019
2015-01-30,13.833198232677331,57386.056976002496,28.49279528529989,56842.841387970475,7.887090973650454,65630.85011903752,38.514473778338925,55233.387313015315,235093.13579602583,-76.49068642039741,230379.74683544313,4713.388960582699
2015-02-02,13.93393402778022,58363.53455224276,28.70158907670823,58001.60558494344,7.9391668877933945,64326.464574994956,38.81533283570683,54436.711033701824,235128.31574588298,-76.4871684254117,232067.5105485233,3060.805197359674
2015-02-03,14.033703706796848,59350.63666112101,28.907410904798603,59261.060424061085,7.9901585767090095,66116.16517469405,39.11097157363618,55819.882627381885,240547.74488725804,-75.94522551127419,233755.27426160348,6792.470625654561
2015-02-04,14.133661280175764,59661.013756358654,29.114091707856964,59436.709646824376,8.04152539667841,66055.26082017356,39.40691998349741,56183.41523070385,241336.39945406045,-75.86636005459395,235443.03797468366,5893.361479376792
2015-02-05,14.232797338999353,60577.34988016117,29.318667141925204,60470.33792619379,8.106587426785381,52572.921846062825,39.70717955101759,55798.668922067714,229419.27857448548,-77.05807214255145,237130.80168776383,-7711.523113278352
2015-02-06,14.332578100544435,60607.888881608735,29.52394424851592,60685.58081953772,8.159961120024574,64507.838237853466,40.01616939596283,54644.06011057234,240445.36804957225,-75.95546319504277,238818.565400844,1626.8026487282477
2015-02-09,14.432656833187083,60849.3778927291,29.73009692559423,60849.77829115775,8.213251696410012,65030.39148673341,40.326627743189675,54807.528597479984,241537.07626810024,-75.84629237318998,240506.32911392418,1030.7471541760606
2015-02-10,14.531214446747525,62210.45631133989,29.93407205374555,61921.324740581804,8.265535457089108,66704.60690115509,40.630414907083505,56433.04595938493,247269.4339124617,-75.27305660875383,242194.09282700435,5075.341085457359
